Ranking,Id,VesId,IMONum,RefNum,ShipName,YearBuilt,MonthBuilt,Type,Length,RepLength,Draught,GearSWLLargest,GearTypeLargest,PrplsnUnits,PropellerType,SvcSpeed,DWT,RepresentDWT,GT,RepresentGT,ROROLnLnth,ROROLnHt,Decks,Cars,RampSWL,Pax,ROROLnWidth,RORORampPosition,TEU,EnginesNumber,EngineDesign,EngineModel,Shipbuilder,EngBuilder,AuxNumEngBuilder,AuxNumEngDesign,AuxNumEngModel,GenNumber,GenKW,ProplnType,NewbldPrice,SalePrice,SaleDate,Crew,CountryBuilt,RegisteredOwner,Flag,Age,DWT_ThrougPut,GT_ThroughPut,DollarPerDWT,DollarPerGT,ImageURL,ROROName,PerComplete,FlagUrl,Country,ISO2,Built,CLINStatus,AgeValue,AgeRankPercent,DwtTptRankPercent,GtTptRankPercent,SpeedRankPercent,RepDwtRankPercent,GTRankPercent,LengthRankPercent,WeightedRanking
11,480,516,9668972,4113417,JOLLY VANADIO,2015,4,Ro-Ro Cargo Ship,240,234.5,11.5,0,,1,Fixed Pitch,20,44574,43463,51055,49944,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,STX Offshore & Shbldg - Jinhae,STX Engine Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,35,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,5,4279.104,4901.28,1691.093574,1471.648246,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3991662,JOLLY VANADIO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.847762%;"" aria-valuenow=""76.847762"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2015-04,CLIN-0001,40,88.888889,88.712952,56.484893,75.471698,79.432352,50.286451,81.081081,76.847762
12,481,517,9668984,4113429,JOLLY PALLADIO,2015,6,Ro-Ro Cargo Ship,240,234.5,11.5,0,,1,Fixed Pitch,20,44574,43463,51055,49944,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,STX Offshore & Shbldg - Jinhae,STX Engine Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,35,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,5,4279.104,4901.28,1691.093574,1471.648246,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2845022,JOLLY PALLADIO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.847762%;"" aria-valuenow=""76.847762"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2015-06,,40,88.888889,88.712952,56.484893,75.471698,79.432352,50.286451,81.081081,76.847762
13,53,68,9121273,3565718,ENDURANCE,1996,12,Vehicles Carrier,264.6,259.1,12.255,0,,1,Fixed Pitch,19.5,48988,47877,72708,71597,0,6.3,9,4923,380,0,0,Starboard Aft: 1,0,1,Mitsubishi,7UEC85LSC,Mitsubishi Nagasaki,Mitsubishi Heavy Industries Ltd - Japan,MAN-B&W,MAN-B&W,8L28/32H,5,7380,Oil Engine(s) Direct Drive,"$8,00,00,000 ",,,25,Japan,Fidelio LP,United States Of America,24,4585.2768,6805.4688,1670.948472,1117.365253,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=694869,,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.778659%;"" aria-valuenow=""76.778659"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/180px-Flag_of_the_United_States.svg.png,United States Of America,US,,CLIN-0003,21,46.666667,95.060424,78.429752,73.584906,87.499315,72.087919,89.391892,76.778659
14,437,467,9578971,4023416,JOLLY CRISTALLO,2012,9,Ro-Ro Cargo Ship,239,233.5,10.5,0,,1,Controllable Pitch,20,46574,45463,50722,49611,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,Daewoo Shipbuilding & Marine,Hyundai Heavy Industries Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,50,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,8,4471.104,4869.312,1649.693157,1511.761505,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1017531,JOLLY CRISTALLO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.701010%;"" aria-valuenow=""76.701010"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2012-09,CLIN-0003,37,82.222222,92.693431,56.116477,75.471698,83.087523,49.951167,80.743243,76.70101
15,416,446,9547219,3991664,JOLLY TITANIO,2014,11,Ro-Ro Cargo Ship,239,233.5,11.5,0,,1,Fixed Pitch,20,44574,43463,51055,49944,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,STX Offshore & Shbldg - Jinhae,STX Engine Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,35,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,6,4279.104,4901.28,1691.093574,1471.648246,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3293326,JOLLY TITANIO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.380795%;"" aria-valuenow=""76.380795"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2014-11,,39,86.666667,88.712952,56.484893,75.471698,79.432352,50.286451,80.743243,76.380795
16,435,465,9578957,4023402,JOLLY DIAMANTE,2011,12,Ro-Ro Cargo Ship,239,233.5,10.5,0,,1,Controllable Pitch,20,46635,45524,50720,49609,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,Daewoo Shipbuilding & Marine,Hyundai Heavy Industries Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,50,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,9,4476.96,4869.12,1647.482647,1511.822452,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=681226,JOLLY DIAMANTE,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.295796%;"" aria-valuenow=""76.295796"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2011-12,CLIN-0003,36,80,92.814836,56.114264,75.471698,83.199006,49.949154,80.743243,76.295796
17,438,468,9578983,4023428,JOLLY QUARZO,2013,2,Ro-Ro Cargo Ship,239,233.5,10.5,0,,1,Controllable Pitch,19.5,46704,45593,50722,49611,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,Daewoo Shipbuilding & Marine,Hyundai Heavy Industries Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,50,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,7,4371.4944,4747.5792,1644.989362,1511.761505,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2344781,JOLLY QUARZO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.078453%;"" aria-valuenow=""76.078453"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2013-02,CLIN-0003,38,84.444444,90.628359,54.713565,73.584906,83.325109,49.951167,80.743243,76.078453
18,436,466,9578969,4023414,JOLLY PERLA,2012,4,Ro-Ro Cargo Ship,239,233.5,10.5,0,,1,Controllable Pitch,20,45200,44089,50722,49611,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,Daewoo Shipbuilding & Marine,Hyundai Heavy Industries Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,50,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,8,4339.2,4869.312,1701.104584,1511.761505,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=988501,JOLLY PERLA,"<div class=""progress-bar"" role=""progressbar"" style=""width: 75.804379%;"" aria-valuenow=""75.804379"" aria-valuemin=""0"" aria-valuemax=""100"">75%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2012-04,CLIN-0003,37,82.222222,89.958842,56.116477,75.471698,80.57642,49.951167,80.743243,75.804379
19,505,541,9680712,4125157,GRANDE ABIDJAN,2015,5,Ro-Ro Cargo Ship,236.32,230.82,9.75,40,CRANE,1,Controllable Pitch,20.6,30801,29690,71543,70432,5772,0,5,5254,150,0,0,Starboard Aft: 1,1800,1,Wartsila,8RT-flex58T,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,,,,3,5580,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Grimaldi Deep Sea SpA,Italy,5,3045.60288,7074.17184,0,0,,GRANDE ABIDJAN,"<div class=""progress-bar"" role=""progressbar"" style=""width: 74.952874%;"" aria-valuenow=""74.952874"" aria-valuemin=""0"" aria-valuemax=""100"">74%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2015-05,,40,88.888889,63.140419,81.526425,77.735849,54.261016,70.914931,79.837838,74.952874
20,506,542,9680724,4125169,GRANDE DAKAR,2015,8,Ro-Ro Cargo Ship,236.32,230.82,9.75,40,CRANE,1,Controllable Pitch,20.6,30796,29685,71543,70432,5772,0,5,5254,150,0,0,Starboard Aft: 1,1800,1,Wartsila,8RT-flex58T,Hyundai Mipo Dockyard Co Ltd,Hyundai Heavy Industries Co Ltd - South Korea,,,,3,5580,Oil Engine(s) Direct Drive,$0 ,,,0,Korea South,Grimaldi Deep Sea SpA,Italy,5,3045.10848,7074.17184,0,0,,GRANDE DAKAR,"<div class=""progress-bar"" role=""progressbar"" style=""width: 74.949531%;"" aria-valuenow=""74.949531"" aria-valuemin=""0"" aria-valuemax=""100"">74%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2015-08,,40,88.888889,63.13017,81.526425,77.735849,54.251878,70.914931,79.837838,74.949531
